Agent 1 | Tick: 145 - ['']
Agent 1 | Tick: 146 - ['']
Agent 1 | Tick: 147 - ['']
Agent 1 | Tick: 148 - ['']
Agent 0 | Tick: 102 - ['r']
Agent 0 | Tick: 103 - ['u', 'u', 'l']
Agent 1 | Tick: 149 - ['']
Agent 1 | Tick: 150 - ['']
Agent 1 | Tick: 151 - ['']
Agent 1 | Tick: 152 - ['']
Agent 0 | Tick: 104 - ['r']
Agent 0 | Tick: 105 - ['u', 'u', 'l']
Agent 1 | Tick: 153 - ['']
Agent 1 | Tick: 154 - ['']
Agent 1 | Tick: 155 - ['']
Agent 1 | Tick: 156 - ['']
Agent 0 | Tick: 106 - ['r']
Agent 0 | Tick: 107 - ['u', 'u', 'l']
Agent 1 | Tick: 157 - ['']
Agent 1 | Tick: 158 - ['']
Agent 1 | Tick: 159 - ['']
Agent 0 | Tick: 108 - ['r']
Agent 1 | Tick: 160 - ['']
Agent 0 | Tick: 109 - ['u', 'u', 'l']
Agent 1 | Tick: 161 - ['']
Agent 1 | Tick: 162 - ['']
Agent 1 | Tick: 163 - ['']
Agent 0 | Tick: 110 - ['u', 'l', 'l']
Agent 1 | Tick: 164 - ['']
Agent 1 | Tick: 165 - ['u', 'l', 'l', 'u', 'u', 'l', 'l', 'l']
Agent 0 | Tick: 111 - ['']
Agent 0 | Tick: 112 - ['']
Agent 0 | Tick: 113 - ['']
Agent 0 | Tick: 114 - ['']
Agent 0 | Tick: 115 - ['']
Agent 0 | Tick: 116 - ['']
Agent 1 | Tick: 166 - ['u', 'u', 'u', 'u', 'u', 'r', 'r']
Agent 0 | Tick: 117 - ['']
Agent 0 | Tick: 118 - ['']
Agent 0 | Tick: 119 - ['']
Agent 0 | Tick: 120 - ['']
Agent 0 | Tick: 121 - ['']
Agent 0 | Tick: 122 - ['']
Agent 0 | Tick: 123 - ['d', 'd', 'd', 'd', 'd', 'd', 'd', 'r', 'd', 'r', 'p']
Agent 1 | Tick: 167 - ['d', 'd', 'd', 'd', 'd', 'd', 'd', 'r', 'r', 'r', 'p']
Agent 0 | Tick: 124 - ['l', 'u', 'u', 'u', 'r', 'r', 'r', 'r', 'd', 'r', 'd', 'd', 'r', 'r', 'r', 'p']
Agent 1 | Tick: 168 - ['d', 'd', 'd', 'd', 'd', 'l', 'd', 'd', 'r', 'p']
Agent 1 | Tick: 169 - ['r', 'd', 'p']
Agent 1 | Tick: 170 - ['u', 'u']
Agent 1 | Tick: 171 - ['']
Agent 0 | Tick: 125 - ['d']
Agent 1 | Tick: 172 - ['']
Agent 1 | Tick: 173 - ['']
Agent 0 | Tick: 126 - ['d']
Agent 0 | Tick: 127 - ['u', 'u', 'u', 'u', 'u', 'l', 'u', 'l', 'u', 'l', 'l', 'l']
Agent 1 | Tick: 174 - ['']
Agent 1 | Tick: 175 - ['']
Agent 1 | Tick: 176 - ['']
Agent 1 | Tick: 177 - ['']
Agent 1 | Tick: 178 - ['']
Agent 1 | Tick: 179 - ['']
Agent 1 | Tick: 180 - ['']
Agent 1 | Tick: 181 - ['']
Agent 1 | Tick: 182 - ['']
Agent 1 | Tick: 183 - ['']
Agent 1 | Tick: 184 - ['']
Agent 1 | Tick: 185 - ['']
Agent 0 | Tick: 128 - ['l']
Agent 1 | Tick: 186 - ['']
Agent 0 | Tick: 129 - ['d', 'l', 'l', 'l', 'l']
Agent 1 | Tick: 187 - ['']
Agent 1 | Tick: 188 - ['']
Agent 1 | Tick: 189 - ['']
Agent 1 | Tick: 190 - ['']
Agent 1 | Tick: 191 - ['']
Agent 0 | Tick: 130 - ['d', 'd', 'r', 'd', 'd', 'r', 'd', 'r', 'p']
Agent 1 | Tick: 192 - ['']
Agent 1 | Tick: 193 - ['']
Agent 1 | Tick: 194 - ['']
Agent 1 | Tick: 195 - ['']
Agent 1 | Tick: 196 - ['']
Agent 1 | Tick: 197 - ['']
Agent 1 | Tick: 198 - ['']
Agent 1 | Tick: 199 - ['']
Agent 1 | Tick: 200 - ['']
Agent 0 | Tick: 131 - ['d', 'r', 'p']
Agent 1 | Tick: 201 - ['d', 'l', 'l', 'u', 'u', 'r']
Agent 0 | Tick: 132 - ['l', 'l', 'u', 'u', 'u', 'u', 'u', 'u', 'u']
Agent 1 | Tick: 202 - ['u', 'r', 'r']
Agent 1 | Tick: 203 - ['u', 'l', 'u', 'u', 'p']
Agent 0 | Tick: 133 - ['u']
Agent 0 | Tick: 134 - ['d', 'd', 'd', 'd', 'd', 'd', 'd', 'r', 'r', 'p']
Agent 1 | Tick: 204 - ['']
Agent 1 | Tick: 205 - ['u', 'l']
Agent 1 | Tick: 206 - ['l']
Agent 1 | Tick: 207 - ['l', 'l', 'd', 'l', 'l', 'l', 'l', 'l']
Agent 0 | Tick: 135 - ['d']
Agent 0 | Tick: 136 - ['d', 'l']
Agent 0 | Tick: 137 - ['l']
Agent 0 | Tick: 138 - ['l', 'u']
Agent 1 | Tick: 208 - ['d', 'l', 'l']
Agent 0 | Tick: 139 - ['u']
Agent 0 | Tick: 140 - ['d', 'r', 'r', 'r', 'r', 'p']
Agent 1 | Tick: 209 - ['']
