Tick: 190 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 191 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 192 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 193 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 194 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 195 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 196 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 197 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 198 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 199 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 200 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 201 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 202 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 203 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 204 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 205 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 206 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 207 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 208 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 209 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 210 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 211 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 212 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 213 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 214 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 215 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 216 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 217 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 218 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 219 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 220 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 221 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 222 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 223 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 224 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 225 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 226 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
